Games won/total: 39/278, win %: 14.03%, last score - black/white:3/7
Games won/total: 39/279, win %: 13.98%, last score - black/white:3/7
Games won/total: 39/280, win %: 13.93%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 39/281, win %: 13.88%, last score - black/white:6/10
Games won/total: 39/282, win %: 13.83%, last score - black/white:3/7
Games won/total: 39/283, win %: 13.78%, last score - black/white:4/8
Games won/total: 39/284, win %: 13.73%, last score - black/white:3/7
Games won/total: 40/285, win %: 14.04%, last score - black/white:13/11
Games won/total: 40/286, win %: 13.99%, last score - black/white:5/7
Games won/total: 40/287, win %: 13.94%, last score - black/white:5/7
Games won/total: 40/288, win %: 13.89%, last score - black/white:5/7
Games won/total: 40/289, win %: 13.84%, last score - black/white:5/7
Games won/total: 40/290, win %: 13.79%, last score - black/white:5/7
Syncing agents weights...
Games won/total: 40/291, win %: 13.75%, last score - black/white:5/7
Games won/total: 40/292, win %: 13.7%, last score - black/white:5/7
Games won/total: 40/293, win %: 13.65%, last score - black/white:5/7
Games won/total: 40/294, win %: 13.61%, last score - black/white:5/7
Games won/total: 40/295, win %: 13.56%, last score - black/white:3/7
Games won/total: 40/296, win %: 13.51%, last score - black/white:3/7
Games won/total: 40/297, win %: 13.47%, last score - black/white:5/7
Games won/total: 40/298, win %: 13.42%, last score - black/white:3/7
Games won/total: 40/299, win %: 13.38%, last score - black/white:3/7
Games won/total: 40/300, win %: 13.33%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/301, win %: 13.29%, last score - black/white:3/7
Games won/total: 40/302, win %: 13.25%, last score - black/white:3/7
Games won/total: 40/303, win %: 13.2%, last score - black/white:3/7
Games won/total: 40/304, win %: 13.16%, last score - black/white:3/7
Games won/total: 40/305, win %: 13.11%, last score - black/white:3/7
Games won/total: 40/306, win %: 13.07%, last score - black/white:3/7
Games won/total: 40/307, win %: 13.03%, last score - black/white:3/7
Games won/total: 40/308, win %: 12.99%, last score - black/white:3/7
Games won/total: 40/309, win %: 12.94%, last score - black/white:3/7
Games won/total: 40/310, win %: 12.9%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/311, win %: 12.86%, last score - black/white:3/7
Games won/total: 40/312, win %: 12.82%, last score - black/white:3/7
Games won/total: 40/313, win %: 12.78%, last score - black/white:3/7
Games won/total: 40/314, win %: 12.74%, last score - black/white:3/7
Games won/total: 40/315, win %: 12.7%, last score - black/white:3/7
Games won/total: 40/316, win %: 12.66%, last score - black/white:3/7
Games won/total: 40/317, win %: 12.62%, last score - black/white:3/7
Games won/total: 40/318, win %: 12.58%, last score - black/white:3/7
Games won/total: 40/319, win %: 12.54%, last score - black/white:3/7
Games won/total: 40/320, win %: 12.5%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/321, win %: 12.46%, last score - black/white:3/7
Games won/total: 40/322, win %: 12.42%, last score - black/white:3/7
Games won/total: 40/323, win %: 12.38%, last score - black/white:3/7
Games won/total: 40/324, win %: 12.35%, last score - black/white:3/7
Games won/total: 40/325, win %: 12.31%, last score - black/white:3/7
Games won/total: 40/326, win %: 12.27%, last score - black/white:3/7
Games won/total: 40/327, win %: 12.23%, last score - black/white:3/7
Games won/total: 40/328, win %: 12.2%, last score - black/white:3/7
Games won/total: 40/329, win %: 12.16%, last score - black/white:3/7
Games won/total: 40/330, win %: 12.12%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/331, win %: 12.08%, last score - black/white:3/7
Games won/total: 40/332, win %: 12.05%, last score - black/white:3/9
Games won/total: 40/333, win %: 12.01%, last score - black/white:3/7
Games won/total: 40/334, win %: 11.98%, last score - black/white:3/7
Games won/total: 40/335, win %: 11.94%, last score - black/white:3/7
Games won/total: 40/336, win %: 11.9%, last score - black/white:3/7
Games won/total: 40/337, win %: 11.87%, last score - black/white:3/7
Games won/total: 40/338, win %: 11.83%, last score - black/white:3/7
Games won/total: 40/339, win %: 11.8%, last score - black/white:3/7
Games won/total: 40/340, win %: 11.76%, last score - black/white:8/10
Syncing agents weights...
Games won/total: 40/341, win %: 11.73%, last score - black/white:3/7
Games won/total: 40/342, win %: 11.7%, last score - black/white:3/7
Games won/total: 40/343, win %: 11.66%, last score - black/white:3/7
Games won/total: 40/344, win %: 11.63%, last score - black/white:3/7
Games won/total: 40/345, win %: 11.59%, last score - black/white:3/7
Games won/total: 40/346, win %: 11.56%, last score - black/white:3/7
Games won/total: 40/347, win %: 11.53%, last score - black/white:3/7
Games won/total: 40/348, win %: 11.49%, last score - black/white:3/7
Games won/total: 40/349, win %: 11.46%, last score - black/white:3/7
Games won/total: 40/350, win %: 11.43%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/351, win %: 11.4%, last score - black/white:3/7
Games won/total: 40/352, win %: 11.36%, last score - black/white:3/7
Games won/total: 40/353, win %: 11.33%, last score - black/white:3/7
Games won/total: 40/354, win %: 11.3%, last score - black/white:3/7
Games won/total: 40/355, win %: 11.27%, last score - black/white:3/7
Games won/total: 40/356, win %: 11.24%, last score - black/white:8/10
Games won/total: 40/357, win %: 11.2%, last score - black/white:3/7
Games won/total: 40/358, win %: 11.17%, last score - black/white:3/7
Games won/total: 40/359, win %: 11.14%, last score - black/white:3/7
Games won/total: 40/360, win %: 11.11%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 40/361, win %: 11.08%, last score - black/white:3/7
Games won/total: 40/362, win %: 11.05%, last score - black/white:3/7
Games won/total: 40/363, win %: 11.02%, last score - black/white:3/7
Games won/total: 40/364, win %: 10.99%, last score - black/white:3/7
Games won/total: 41/365, win %: 11.23%, last score - black/white:7/5
Games won/total: 41/366, win %: 11.2%, last score - black/white:3/7
Games won/total: 41/367, win %: 11.17%, last score - black/white:3/7
Games won/total: 41/368, win %: 11.14%, last score - black/white:9/9
Games won/total: 41/369, win %: 11.11%, last score - black/white:3/7
Games won/total: 41/370, win %: 11.08%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 41/371, win %: 11.05%, last score - black/white:7/9
Games won/total: 41/372, win %: 11.02%, last score - black/white:3/7
Games won/total: 42/373, win %: 11.26%, last score - black/white:13/7
Games won/total: 42/374, win %: 11.23%, last score - black/white:3/7
Games won/total: 42/375, win %: 11.2%, last score - black/white:3/7
Games won/total: 42/376, win %: 11.17%, last score - black/white:3/7
Games won/total: 42/377, win %: 11.14%, last score - black/white:3/7
Games won/total: 42/378, win %: 11.11%, last score - black/white:3/7
Games won/total: 42/379, win %: 11.08%, last score - black/white:9/9
Games won/total: 42/380, win %: 11.05%, last score - black/white:6/10
Syncing agents weights...
Games won/total: 42/381, win %: 11.02%, last score - black/white:3/7
Games won/total: 42/382, win %: 10.99%, last score - black/white:3/7
Games won/total: 42/383, win %: 10.97%, last score - black/white:3/7
Games won/total: 42/384, win %: 10.94%, last score - black/white:3/7
Games won/total: 42/385, win %: 10.91%, last score - black/white:5/7
Games won/total: 42/386, win %: 10.88%, last score - black/white:5/7
Games won/total: 42/387, win %: 10.85%, last score - black/white:5/7
Games won/total: 42/388, win %: 10.82%, last score - black/white:5/7
Games won/total: 42/389, win %: 10.8%, last score - black/white:5/7
Games won/total: 42/390, win %: 10.77%, last score - black/white:5/7
Syncing agents weights...
Games won/total: 42/391, win %: 10.74%, last score - black/white:5/7
Games won/total: 42/392, win %: 10.71%, last score - black/white:5/7
Games won/total: 42/393, win %: 10.69%, last score - black/white:5/7
Games won/total: 42/394, win %: 10.66%, last score - black/white:5/7
Games won/total: 42/395, win %: 10.63%, last score - black/white:5/7
Games won/total: 42/396, win %: 10.61%, last score - black/white:5/7
Games won/total: 42/397, win %: 10.58%, last score - black/white:5/7
Games won/total: 42/398, win %: 10.55%, last score - black/white:5/7
Games won/total: 42/399, win %: 10.53%, last score - black/white:5/7
Games won/total: 42/400, win %: 10.5%, last score - black/white:5/7
Syncing agents weights...
Games won/total: 42/401, win %: 10.47%, last score - black/white:5/7
Games won/total: 42/402, win %: 10.45%, last score - black/white:5/7
Games won/total: 42/403, win %: 10.42%, last score - black/white:5/7
Games won/total: 42/404, win %: 10.4%, last score - black/white:6/8
Games won/total: 42/405, win %: 10.37%, last score - black/white:5/7
Games won/total: 42/406, win %: 10.34%, last score - black/white:5/7
Games won/total: 42/407, win %: 10.32%, last score - black/white:5/7
Games won/total: 42/408, win %: 10.29%, last score - black/white:5/7
Games won/total: 42/409, win %: 10.27%, last score - black/white:5/7
Games won/total: 42/410, win %: 10.24%, last score - black/white:5/7
Syncing agents weights...
Games won/total: 42/411, win %: 10.22%, last score - black/white:5/7
Games won/total: 42/412, win %: 10.19%, last score - black/white:5/7
Games won/total: 42/413, win %: 10.17%, last score - black/white:5/7
Games won/total: 42/414, win %: 10.14%, last score - black/white:5/7
Games won/total: 42/415, win %: 10.12%, last score - black/white:5/7
Games won/total: 42/416, win %: 10.1%, last score - black/white:5/9
Games won/total: 42/417, win %: 10.07%, last score - black/white:5/7
Games won/total: 42/418, win %: 10.05%, last score - black/white:5/7
Games won/total: 42/419, win %: 10.02%, last score - black/white:5/7
Games won/total: 42/420, win %: 10.0%, last score - black/white:5/7
Syncing agents weights...
Games won/total: 42/421, win %: 9.976%, last score - black/white:5/7
Games won/total: 42/422, win %: 9.953%, last score - black/white:5/7
